Julian Date	Pc Latitude (deg)	Radiance x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1)))	Uncertainty (x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1))) Wavelength (µm)
   2445380.5000  -49.0      2.96531      0.08964  18.72
   2445440.5000  -49.0      2.96543      0.08964  18.72
   2445500.5000  -49.0      2.97250      0.08964  18.72
   2445560.5000  -49.0      2.98616      0.08964  18.72
   2445620.5000  -49.0      2.99732      0.08964  18.72
   2445680.5000  -49.0      2.99888      0.08964  18.72
   2445740.5000  -49.0      2.99677      0.08964  18.72
   2445800.5000  -49.0      2.99336      0.08964  18.72
   2445860.5000  -49.0      2.99038      0.08964  18.72
   2445920.5000  -49.0      2.99611      0.08964  18.72
   2445980.5000  -49.0      2.99257      0.08964  18.72
   2446040.5000  -49.0      2.98192      0.08964  18.72
   2446100.5000  -49.0      2.96550      0.08964  18.72
   2446160.5000  -49.0      2.94416      0.08964  18.72
   2446220.5000  -49.0      2.91942      0.08964  18.72
   2446280.5000  -49.0      2.89606      0.08964  18.72
   2446340.5000  -49.0      2.86862      0.08964  18.72
   2446400.5000  -49.0      2.84393      0.08964  18.72
   2446460.5000  -49.0      2.81536      0.08964  18.72
   2446520.5000  -49.0      2.79369      0.08964  18.72
   2446580.5000  -49.0      2.78110      0.08964  18.72
   2446640.5000  -49.0      2.77559      0.08964  18.72
   2446700.5000  -49.0      2.76262      0.08964  18.72
   2446760.5000  -49.0      2.76592      0.08964  18.72
   2446820.5000  -49.0      2.75062      0.08964  18.72
   2446880.5000  -49.0      2.73613      0.08964  18.72
   2446940.5000  -49.0      2.73375      0.08964  18.72
   2447000.5000  -49.0      2.74192      0.08964  18.72
   2447060.5000  -49.0      2.74553      0.08964  18.72
   2447120.5000  -49.0      2.74115      0.08964  18.72
   2447180.5000  -49.0      2.74861      0.08964  18.72
   2447240.5000  -49.0      2.76691      0.08964  18.72
   2447300.5000  -49.0      2.78044      0.08964  18.72
   2447360.5000  -49.0      2.80246      0.08964  18.72
   2447420.5000  -49.0      2.81493      0.08964  18.72
   2447480.5000  -49.0      2.82236      0.08964  18.72
   2447540.5000  -49.0      2.82449      0.08964  18.72
   2447600.5000  -49.0      2.82286      0.08964  18.72
   2447660.5000  -49.0      2.81799      0.08964  18.72
   2447720.5000  -49.0      2.81238      0.08964  18.72
   2447780.5000  -49.0      2.80195      0.08964  18.72
   2447840.5000  -49.0      2.79270      0.08964  18.72
   2447900.5000  -49.0      2.77793      0.08964  18.72
   2447960.5000  -49.0      2.76906      0.08964  18.72
   2448020.5000  -49.0      2.76610      0.08964  18.72
