Julian Date	Pc Latitude (deg)	Radiance x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1)))	Uncertainty (x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1))) Wavelength (µm)
   2449100.5000  -49.0      6.10394      0.20878  24.50
   2449160.5000  -49.0      6.10392      0.20878  24.50
   2449220.5000  -49.0      6.10389      0.20878  24.50
   2449280.5000  -49.0      6.10386      0.20878  24.50
   2449340.5000  -49.0      6.10383      0.20878  24.50
   2449400.5000  -49.0      6.09088      0.20878  24.50
   2449460.5000  -49.0      6.08921      0.20878  24.50
   2449520.5000  -49.0      6.09688      0.20878  24.50
   2449580.5000  -49.0      6.13557      0.20878  24.50
   2449640.5000  -49.0      6.14799      0.20878  24.50
   2449700.5000  -49.0      6.14185      0.20878  24.50
   2449760.5000  -49.0      6.12167      0.20878  24.50
   2449820.5000  -49.0      6.09172      0.20878  24.50
   2449880.5000  -49.0      6.05588      0.20878  24.50
   2449940.5000  -49.0      6.01772      0.20878  24.50
   2450000.5000  -49.0      5.98038      0.20878  24.50
   2450060.5000  -49.0      5.94658      0.20878  24.50
   2450120.5000  -49.0      5.91855      0.20878  24.50
   2450180.5000  -49.0      5.89800      0.20878  24.50
   2450240.5000  -49.0      5.88607      0.20878  24.50
   2450300.5000  -49.0      5.87079      0.20878  24.50
   2450360.5000  -49.0      5.87930      0.20878  24.50
   2450420.5000  -49.0      5.90555      0.20878  24.50
   2450480.5000  -49.0      5.94161      0.20878  24.50
   2450540.5000  -49.0      5.97696      0.20878  24.50
   2450600.5000  -49.0      6.00337      0.20878  24.50
   2450660.5000  -49.0      6.01466      0.20878  24.50
   2450720.5000  -49.0      5.99383      0.20878  24.50
   2450780.5000  -49.0      5.96267      0.20878  24.50
   2450840.5000  -49.0      5.89888      0.20878  24.50
   2450900.5000  -49.0      5.84508      0.20878  24.50
   2450960.5000  -49.0      5.79402      0.20878  24.50
   2451020.5000  -49.0      5.75757      0.20878  24.50
   2451080.5000  -49.0      5.72299      0.20878  24.50
   2451140.5000  -49.0      5.72574      0.20878  24.50
   2451200.5000  -49.0      5.75002      0.20878  24.50
   2451260.5000  -49.0      5.75892      0.20878  24.50
   2451320.5000  -49.0      5.75679      0.20878  24.50
   2451380.5000  -49.0      5.74162      0.20878  24.50
   2451440.5000  -49.0      5.72102      0.20878  24.50
   2451500.5000  -49.0      5.69917      0.20878  24.50
   2451560.5000  -49.0      5.67712      0.20878  24.50
   2451620.5000  -49.0      5.65485      0.20878  24.50
   2451680.5000  -49.0      5.62940      0.20878  24.50
   2451740.5000  -49.0      5.58844      0.20878  24.50
   2451800.5000  -49.0      5.55927      0.20878  24.50
   2451860.5000  -49.0      5.53424      0.20878  24.50
   2451920.5000  -49.0      5.51477      0.20878  24.50
   2451980.5000  -49.0      5.50896      0.20878  24.50
   2452040.5000  -49.0      5.49197      0.20878  24.50
   2452100.5000  -49.0      5.47258      0.20878  24.50
   2452160.5000  -49.0      5.45162      0.20878  24.50
   2452220.5000  -49.0      5.45692      0.20878  24.50
   2452280.5000  -49.0      5.46777      0.20878  24.50
   2452340.5000  -49.0      5.49881      0.20878  24.50
   2452400.5000  -49.0      5.51120      0.20878  24.50
   2452460.5000  -49.0      5.49981      0.20878  24.50
   2452520.5000  -49.0      5.51107      0.20878  24.50
   2452580.5000  -49.0      5.55505      0.20878  24.50
   2452640.5000  -49.0      5.61728      0.20878  24.50
   2452700.5000  -49.0      5.66402      0.20878  24.50
   2452760.5000  -49.0      5.71991      0.20878  24.50
   2452820.5000  -49.0      5.76962      0.20878  24.50
   2452880.5000  -49.0      5.81104      0.20878  24.50
   2452940.5000  -49.0      5.84397      0.20878  24.50
   2453000.5000  -49.0      5.87031      0.20878  24.50
   2453060.5000  -49.0      5.89808      0.20878  24.50
   2453120.5000  -49.0      5.92779      0.20878  24.50
   2453180.5000  -49.0      5.94420      0.20878  24.50
   2453240.5000  -49.0      5.96104      0.20878  24.50
   2453300.5000  -49.0      5.98358      0.20878  24.50
   2453360.5000  -49.0      6.01240      0.20878  24.50
   2453420.5000  -49.0      6.04807      0.20878  24.50
   2453480.5000  -49.0      6.06845      0.20878  24.50
   2453540.5000  -49.0      6.06753      0.20878  24.50
   2453600.5000  -49.0      6.05881      0.20878  24.50
   2453660.5000  -49.0      6.05334      0.20878  24.50
   2453720.5000  -49.0      6.06126      0.20878  24.50
   2453780.5000  -49.0      6.08332      0.20878  24.50
   2453840.5000  -49.0      6.09869      0.20878  24.50
   2453900.5000  -49.0      6.10324      0.20878  24.50
   2453960.5000  -49.0      6.08540      0.20878  24.50
   2454020.5000  -49.0      6.05717      0.20878  24.50
   2454080.5000  -49.0      6.06003      0.20878  24.50
   2454140.5000  -49.0      6.04974      0.20878  24.50
   2454200.5000  -49.0      6.04032      0.20878  24.50
   2454260.5000  -49.0      6.02223      0.20878  24.50
   2454320.5000  -49.0      5.98715      0.20878  24.50
   2454380.5000  -49.0      5.95516      0.20878  24.50
