Julian Date	Pc Latitude (deg)	Radiance x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1)))	Uncertainty (x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1))) Wavelength (µm)
   2449100.5000  -49.0      0.88512      0.03660  13.04
   2449160.5000  -49.0      0.88485      0.03660  13.04
   2449220.5000  -49.0      0.88427      0.03660  13.04
   2449280.5000  -49.0      0.88347      0.03660  13.04
   2449340.5000  -49.0      0.88257      0.03660  13.04
   2449400.5000  -49.0      0.88170      0.03660  13.04
   2449460.5000  -49.0      0.88103      0.03660  13.04
   2449520.5000  -49.0      0.88068      0.03660  13.04
   2449580.5000  -49.0      0.88138      0.03660  13.04
   2449640.5000  -49.0      0.88189      0.03660  13.04
   2449700.5000  -49.0      0.88219      0.03660  13.04
   2449760.5000  -49.0      0.88320      0.03660  13.04
   2449820.5000  -49.0      0.88540      0.03660  13.04
   2449880.5000  -49.0      0.88945      0.03660  13.04
   2449940.5000  -49.0      0.89458      0.03660  13.04
   2450000.5000  -49.0      0.90012      0.03660  13.04
   2450060.5000  -49.0      0.90561      0.03660  13.04
   2450120.5000  -49.0      0.90982      0.03660  13.04
   2450180.5000  -49.0      0.91326      0.03660  13.04
   2450240.5000  -49.0      0.91613      0.03660  13.04
   2450300.5000  -49.0      0.91542      0.03660  13.04
   2450360.5000  -49.0      0.92022      0.03660  13.04
   2450420.5000  -49.0      0.92639      0.03660  13.04
   2450480.5000  -49.0      0.92996      0.03660  13.04
   2450540.5000  -49.0      0.93091      0.03660  13.04
   2450600.5000  -49.0      0.92937      0.03660  13.04
   2450660.5000  -49.0      0.92635      0.03660  13.04
   2450720.5000  -49.0      0.91873      0.03660  13.04
   2450780.5000  -49.0      0.91151      0.03660  13.04
   2450840.5000  -49.0      0.90360      0.03660  13.04
   2450900.5000  -49.0      0.89490      0.03660  13.04
   2450960.5000  -49.0      0.88832      0.03660  13.04
   2451020.5000  -49.0      0.88030      0.03660  13.04
   2451080.5000  -49.0      0.86998      0.03660  13.04
   2451140.5000  -49.0      0.85986      0.03660  13.04
   2451200.5000  -49.0      0.85130      0.03660  13.04
   2451260.5000  -49.0      0.84574      0.03660  13.04
   2451320.5000  -49.0      0.84109      0.03660  13.04
   2451380.5000  -49.0      0.83472      0.03660  13.04
   2451440.5000  -49.0      0.82809      0.03660  13.04
   2451500.5000  -49.0      0.82174      0.03660  13.04
   2451560.5000  -49.0      0.81505      0.03660  13.04
   2451620.5000  -49.0      0.81058      0.03660  13.04
   2451680.5000  -49.0      0.80375      0.03660  13.04
   2451740.5000  -49.0      0.79478      0.03660  13.04
   2451800.5000  -49.0      0.79269      0.03660  13.04
   2451860.5000  -49.0      0.79298      0.03660  13.04
   2451920.5000  -49.0      0.79398      0.03660  13.04
   2451980.5000  -49.0      0.79825      0.03660  13.04
