Julian Date	Pc Latitude (deg)	Radiance x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1)))	Uncertainty (x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1))) Wavelength (µm)
   2445380.5000  -49.0      4.57719      0.16888  20.50
   2445440.5000  -49.0      4.57299      0.16888  20.50
   2445500.5000  -49.0      4.58771      0.16888  20.50
   2445560.5000  -49.0      4.62795      0.16888  20.50
   2445620.5000  -49.0      4.63887      0.16888  20.50
   2445680.5000  -49.0      4.62898      0.16888  20.50
   2445740.5000  -49.0      4.60797      0.16888  20.50
   2445800.5000  -49.0      4.58004      0.16888  20.50
   2445860.5000  -49.0      4.54856      0.16888  20.50
   2445920.5000  -49.0      4.52367      0.16888  20.50
   2445980.5000  -49.0      4.49060      0.16888  20.50
   2446040.5000  -49.0      4.45577      0.16888  20.50
   2446100.5000  -49.0      4.42147      0.16888  20.50
   2446160.5000  -49.0      4.39151      0.16888  20.50
   2446220.5000  -49.0      4.36869      0.16888  20.50
   2446280.5000  -49.0      4.35422      0.16888  20.50
   2446340.5000  -49.0      4.34872      0.16888  20.50
   2446400.5000  -49.0      4.35007      0.16888  20.50
   2446460.5000  -49.0      4.36126      0.16888  20.50
   2446520.5000  -49.0      4.38162      0.16888  20.50
   2446580.5000  -49.0      4.40407      0.16888  20.50
   2446640.5000  -49.0      4.42033      0.16888  20.50
   2446700.5000  -49.0      4.43195      0.16888  20.50
   2446760.5000  -49.0      4.40607      0.16888  20.50
   2446820.5000  -49.0      4.36631      0.16888  20.50
   2446880.5000  -49.0      4.32574      0.16888  20.50
   2446940.5000  -49.0      4.30564      0.16888  20.50
   2447000.5000  -49.0      4.30960      0.16888  20.50
   2447060.5000  -49.0      4.29282      0.16888  20.50
   2447120.5000  -49.0      4.27918      0.16888  20.50
   2447180.5000  -49.0      4.27256      0.16888  20.50
   2447240.5000  -49.0      4.27051      0.16888  20.50
   2447300.5000  -49.0      4.28040      0.16888  20.50
   2447360.5000  -49.0      4.30951      0.16888  20.50
   2447420.5000  -49.0      4.34139      0.16888  20.50
   2447480.5000  -49.0      4.38133      0.16888  20.50
   2447540.5000  -49.0      4.42698      0.16888  20.50
   2447600.5000  -49.0      4.47533      0.16888  20.50
   2447660.5000  -49.0      4.52308      0.16888  20.50
   2447720.5000  -49.0      4.56697      0.16888  20.50
   2447780.5000  -49.0      4.60415      0.16888  20.50
   2447840.5000  -49.0      4.63256      0.16888  20.50
   2447900.5000  -49.0      4.65702      0.16888  20.50
   2447960.5000  -49.0      4.67839      0.16888  20.50
   2448020.5000  -49.0      4.69398      0.16888  20.50
   2448080.5000  -49.0      4.70396      0.16888  20.50
   2448140.5000  -49.0      4.70882      0.16888  20.50
   2448200.5000  -49.0      4.70939      0.16888  20.50
   2448260.5000  -49.0      4.70674      0.16888  20.50
   2448320.5000  -49.0      4.70213      0.16888  20.50
   2448380.5000  -49.0      4.69690      0.16888  20.50
   2448440.5000  -49.0      4.69234      0.16888  20.50
   2448500.5000  -49.0      4.68957      0.16888  20.50
   2448560.5000  -49.0      4.68933      0.16888  20.50
   2448620.5000  -49.0      4.69185      0.16888  20.50
   2448680.5000  -49.0      4.69094      0.16888  20.50
   2448740.5000  -49.0      4.69003      0.16888  20.50
   2448800.5000  -49.0      4.68912      0.16888  20.50
   2448860.5000  -49.0      4.68822      0.16888  20.50
   2448920.5000  -49.0      4.68731      0.16888  20.50
   2448980.5000  -49.0      4.68640      0.16888  20.50
   2449040.5000  -49.0      4.68549      0.16888  20.50
   2449100.5000  -49.0      4.68459      0.16888  20.50
   2449160.5000  -49.0      4.68368      0.16888  20.50
   2449220.5000  -49.0      4.68277      0.16888  20.50
   2449280.5000  -49.0      4.68186      0.16888  20.50
   2449340.5000  -49.0      4.68438      0.16888  20.50
   2449400.5000  -49.0      4.68448      0.16888  20.50
   2449460.5000  -49.0      4.67702      0.16888  20.50
   2449520.5000  -49.0      4.66882      0.16888  20.50
   2449580.5000  -49.0      4.66611      0.16888  20.50
   2449640.5000  -49.0      4.66715      0.16888  20.50
   2449700.5000  -49.0      4.67371      0.16888  20.50
   2449760.5000  -49.0      4.68290      0.16888  20.50
   2449820.5000  -49.0      4.69240      0.16888  20.50
   2449880.5000  -49.0      4.69966      0.16888  20.50
   2449940.5000  -49.0      4.70195      0.16888  20.50
   2450000.5000  -49.0      4.70203      0.16888  20.50
   2450060.5000  -49.0      4.70911      0.16888  20.50
   2450120.5000  -49.0      4.70423      0.16888  20.50
   2450180.5000  -49.0      4.69118      0.16888  20.50
   2450240.5000  -49.0      4.67277      0.16888  20.50
   2450300.5000  -49.0      4.64857      0.16888  20.50
   2450360.5000  -49.0      4.63222      0.16888  20.50
   2450420.5000  -49.0      4.61037      0.16888  20.50
   2450480.5000  -49.0      4.58359      0.16888  20.50
   2450540.5000  -49.0      4.55460      0.16888  20.50
   2450600.5000  -49.0      4.52613      0.16888  20.50
   2450660.5000  -49.0      4.50506      0.16888  20.50
   2450720.5000  -49.0      4.48248      0.16888  20.50
   2450780.5000  -49.0      4.46530      0.16888  20.50
   2450840.5000  -49.0      4.45181      0.16888  20.50
   2450900.5000  -49.0      4.42944      0.16888  20.50
   2450960.5000  -49.0      4.41415      0.16888  20.50
   2451020.5000  -49.0      4.40514      0.16888  20.50
   2451080.5000  -49.0      4.39877      0.16888  20.50
   2451140.5000  -49.0      4.40375      0.16888  20.50
   2451200.5000  -49.0      4.41232      0.16888  20.50
   2451260.5000  -49.0      4.41043      0.16888  20.50
   2451320.5000  -49.0      4.39470      0.16888  20.50
   2451380.5000  -49.0      4.36403      0.16888  20.50
   2451440.5000  -49.0      4.33203      0.16888  20.50
   2451500.5000  -49.0      4.30906      0.16888  20.50
   2451560.5000  -49.0      4.27964      0.16888  20.50
   2451620.5000  -49.0      4.26046      0.16888  20.50
   2451680.5000  -49.0      4.24112      0.16888  20.50
   2451740.5000  -49.0      4.22335      0.16888  20.50
   2451800.5000  -49.0      4.21848      0.16888  20.50
   2451860.5000  -49.0      4.21205      0.16888  20.50
   2451920.5000  -49.0      4.20856      0.16888  20.50
   2451980.5000  -49.0      4.21364      0.16888  20.50
   2452040.5000  -49.0      4.21917      0.16888  20.50
   2452100.5000  -49.0      4.22892      0.16888  20.50
   2452160.5000  -49.0      4.23254      0.16888  20.50
