Julian Date	Pc Latitude (deg)	Radiance x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1)))	Uncertainty (x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1))) Wavelength (µm)
   2445380.5000  -49.0      0.27943      0.00774  10.77
   2445440.5000  -49.0      0.27940      0.00774  10.77
   2445500.5000  -49.0      0.27954      0.00774  10.77
   2445560.5000  -49.0      0.27986      0.00774  10.77
   2445620.5000  -49.0      0.28028      0.00774  10.77
   2445680.5000  -49.0      0.28078      0.00774  10.77
   2445740.5000  -49.0      0.28141      0.00774  10.77
   2445800.5000  -49.0      0.28212      0.00774  10.77
   2445860.5000  -49.0      0.28285      0.00774  10.77
   2445920.5000  -49.0      0.28344      0.00774  10.77
   2445980.5000  -49.0      0.28391      0.00774  10.77
   2446040.5000  -49.0      0.28420      0.00774  10.77
   2446100.5000  -49.0      0.28427      0.00774  10.77
   2446160.5000  -49.0      0.28413      0.00774  10.77
   2446220.5000  -49.0      0.28378      0.00774  10.77
   2446280.5000  -49.0      0.28325      0.00774  10.77
   2446340.5000  -49.0      0.28259      0.00774  10.77
   2446400.5000  -49.0      0.28132      0.00774  10.77
   2446460.5000  -49.0      0.28074      0.00774  10.77
   2446520.5000  -49.0      0.28069      0.00774  10.77
   2446580.5000  -49.0      0.28109      0.00774  10.77
   2446640.5000  -49.0      0.28113      0.00774  10.77
   2446700.5000  -49.0      0.28091      0.00774  10.77
   2446760.5000  -49.0      0.28034      0.00774  10.77
   2446820.5000  -49.0      0.28027      0.00774  10.77
   2446880.5000  -49.0      0.27862      0.00774  10.77
   2446940.5000  -49.0      0.27593      0.00774  10.77
   2447000.5000  -49.0      0.27268      0.00774  10.77
   2447060.5000  -49.0      0.26929      0.00774  10.77
   2447120.5000  -49.0      0.26638      0.00774  10.77
   2447180.5000  -49.0      0.26370      0.00774  10.77
   2447240.5000  -49.0      0.26120      0.00774  10.77
   2447300.5000  -49.0      0.25935      0.00774  10.77
   2447360.5000  -49.0      0.25847      0.00774  10.77
   2447420.5000  -49.0      0.25872      0.00774  10.77
   2447480.5000  -49.0      0.26014      0.00774  10.77
   2447540.5000  -49.0      0.26264      0.00774  10.77
   2447600.5000  -49.0      0.26598      0.00774  10.77
   2447660.5000  -49.0      0.26984      0.00774  10.77
   2447720.5000  -49.0      0.27377      0.00774  10.77
   2447780.5000  -49.0      0.27722      0.00774  10.77
   2447840.5000  -49.0      0.27956      0.00774  10.77
   2447900.5000  -49.0      0.28180      0.00774  10.77
   2447960.5000  -49.0      0.28331      0.00774  10.77
   2448020.5000  -49.0      0.28409      0.00774  10.77
   2448080.5000  -49.0      0.28424      0.00774  10.77
   2448140.5000  -49.0      0.28403      0.00774  10.77
   2448200.5000  -49.0      0.28392      0.00774  10.77
   2448260.5000  -49.0      0.28457      0.00774  10.77
   2448320.5000  -49.0      0.28403      0.00774  10.77
   2448380.5000  -49.0      0.28329      0.00774  10.77
   2448440.5000  -49.0      0.28255      0.00774  10.77
   2448500.5000  -49.0      0.28208      0.00774  10.77
   2448560.5000  -49.0      0.28214      0.00774  10.77
   2448620.5000  -49.0      0.28213      0.00774  10.77
   2448680.5000  -49.0      0.28191      0.00774  10.77
   2448740.5000  -49.0      0.28169      0.00774  10.77
   2448800.5000  -49.0      0.28147      0.00774  10.77
   2448860.5000  -49.0      0.28124      0.00774  10.77
   2448920.5000  -49.0      0.28112      0.00774  10.77
   2448980.5000  -49.0      0.28098      0.00774  10.77
   2449040.5000  -49.0      0.28076      0.00774  10.77
   2449100.5000  -49.0      0.28044      0.00774  10.77
   2449160.5000  -49.0      0.28005      0.00774  10.77
   2449220.5000  -49.0      0.27963      0.00774  10.77
   2449280.5000  -49.0      0.27924      0.00774  10.77
   2449340.5000  -49.0      0.27896      0.00774  10.77
   2449400.5000  -49.0      0.27884      0.00774  10.77
   2449460.5000  -49.0      0.27894      0.00774  10.77
   2449520.5000  -49.0      0.27931      0.00774  10.77
   2449580.5000  -49.0      0.28022      0.00774  10.77
   2449640.5000  -49.0      0.28132      0.00774  10.77
   2449700.5000  -49.0      0.28176      0.00774  10.77
   2449760.5000  -49.0      0.28251      0.00774  10.77
   2449820.5000  -49.0      0.28409      0.00774  10.77
   2449880.5000  -49.0      0.28661      0.00774  10.77
   2449940.5000  -49.0      0.28994      0.00774  10.77
   2450000.5000  -49.0      0.29373      0.00774  10.77
   2450060.5000  -49.0      0.29813      0.00774  10.77
   2450120.5000  -49.0      0.30304      0.00774  10.77
   2450180.5000  -49.0      0.30484      0.00774  10.77
   2450240.5000  -49.0      0.30385      0.00774  10.77
   2450300.5000  -49.0      0.30008      0.00774  10.77
   2450360.5000  -49.0      0.29521      0.00774  10.77
   2450420.5000  -49.0      0.28939      0.00774  10.77
   2450480.5000  -49.0      0.28309      0.00774  10.77
   2450540.5000  -49.0      0.27677      0.00774  10.77
   2450600.5000  -49.0      0.27089      0.00774  10.77
   2450660.5000  -49.0      0.26612      0.00774  10.77
   2450720.5000  -49.0      0.26143      0.00774  10.77
   2450780.5000  -49.0      0.25989      0.00774  10.77
   2450840.5000  -49.0      0.25999      0.00774  10.77
   2450900.5000  -49.0      0.25969      0.00774  10.77
   2450960.5000  -49.0      0.26175      0.00774  10.77
   2451020.5000  -49.0      0.26449      0.00774  10.77
   2451080.5000  -49.0      0.26835      0.00774  10.77
   2451140.5000  -49.0      0.27126      0.00774  10.77
   2451200.5000  -49.0      0.27423      0.00774  10.77
   2451260.5000  -49.0      0.27485      0.00774  10.77
   2451320.5000  -49.0      0.27312      0.00774  10.77
   2451380.5000  -49.0      0.27000      0.00774  10.77
   2451440.5000  -49.0      0.26649      0.00774  10.77
   2451500.5000  -49.0      0.26410      0.00774  10.77
   2451560.5000  -49.0      0.26310      0.00774  10.77
   2451620.5000  -49.0      0.26059      0.00774  10.77
   2451680.5000  -49.0      0.25837      0.00774  10.77
   2451740.5000  -49.0      0.25581      0.00774  10.77
   2451800.5000  -49.0      0.25379      0.00774  10.77
   2451860.5000  -49.0      0.25185      0.00774  10.77
   2451920.5000  -49.0      0.25019      0.00774  10.77
   2451980.5000  -49.0      0.24917      0.00774  10.77
   2452040.5000  -49.0      0.24832      0.00774  10.77
   2452100.5000  -49.0      0.24828      0.00774  10.77
   2452160.5000  -49.0      0.24865      0.00774  10.77
   2452220.5000  -49.0      0.25209      0.00774  10.77
   2452280.5000  -49.0      0.25574      0.00774  10.77
   2452340.5000  -49.0      0.25823      0.00774  10.77
   2452400.5000  -49.0      0.26197      0.00774  10.77
   2452460.5000  -49.0      0.26507      0.00774  10.77
   2452520.5000  -49.0      0.26949      0.00774  10.77
   2452580.5000  -49.0      0.27452      0.00774  10.77
   2452640.5000  -49.0      0.28060      0.00774  10.77
   2452700.5000  -49.0      0.28549      0.00774  10.77
